date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:03	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2012%20Feb%202016%2015:14:52%20GMT	http://premiumtemplatewebsite.com/template/avec/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/da/asdasd/premiumtemplatewebsite.com/template/avec/fonts/glyphicons-halflings-regulard41d.eot	(from http://premiumtemplatewebsite.com/template/avec/css/bootstrap.min.css)
16:15:06	371/371	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Feb%202016%2008:15:03%20GMT	http://premiumtemplatewebsite.com/template/avec/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/da/asdasd/premiumtemplatewebsite.com/template/avec/fonts/glyphicons-halflings-regular.1d.delayed	(from http://premiumtemplatewebsite.com/template/avec/css/bootstrap.min.css)
16:15:08	214672/214672	---M--	200	added ('OK')	image/jpeg	date:Fri,%2012%20Feb%202016%2015:14:14%20GMT	http://premiumtemplatewebsite.com/template/avec/img/background/sample4.jpg	C:/My%20Web%20Sites/da/asdasd/premiumtemplatewebsite.com/template/avec/img/background/sample4.jpg	(from http://premiumtemplatewebsite.com/template/avec/css/style.css)
16:15:10	266947/266947	---M--	200	added ('OK')	image/jpeg	date:Fri,%2012%20Feb%202016%2015:14:12%20GMT	http://premiumtemplatewebsite.com/template/avec/img/background/sample2.jpg	C:/My%20Web%20Sites/da/asdasd/premiumtemplatewebsite.com/template/avec/img/background/sample2.jpg	(from http://premiumtemplatewebsite.com/template/avec/css/style.css)
16:15:10	23320/23320	---M--	200	added ('OK')	application/x-font-woff	date:Fri,%2012%20Feb%202016%2015:14:53%20GMT	http://premiumtemplatewebsite.com/template/avec/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/da/asdasd/premiumtemplatewebsite.com/template/avec/fonts/glyphicons-halflings-regular.woff	(from http://premiumtemplatewebsite.com/template/avec/css/bootstrap.min.css)
16:15:16	41280/41280	---M--	200	added ('OK')	application/x-font-ttf	date:Fri,%2012%20Feb%202016%2015:14:53%20GMT	http://premiumtemplatewebsite.com/template/avec/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/da/asdasd/premiumtemplatewebsite.com/template/avec/fonts/glyphicons-halflings-regular.ttf	(from http://premiumtemplatewebsite.com/template/avec/css/bootstrap.min.css)
16:15:17	339715/339715	---M--	200	added ('OK')	image/jpeg	date:Fri,%2012%20Feb%202016%2015:14:14%20GMT	http://premiumtemplatewebsite.com/template/avec/img/background/sample3.jpg	C:/My%20Web%20Sites/da/asdasd/premiumtemplatewebsite.com/template/avec/img/background/sample3.jpg	(from http://premiumtemplatewebsite.com/template/avec/css/style.css)
16:15:21	62927/62927	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Feb%202016%2015:14:53%20GMT	http://premiumtemplatewebsite.com/template/avec/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/da/asdasd/premiumtemplatewebsite.com/template/avec/fonts/glyphicons-halflings-regular.svg	(from http://premiumtemplatewebsite.com/template/avec/css/bootstrap.min.css)
16:15:22	68875/68875	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2012%20Feb%202016%2015:14:50%20GMT	http://premiumtemplatewebsite.com/template/avec/fonts/fontawesome-webfont.eot?v=4.4.0	C:/My%20Web%20Sites/da/asdasd/premiumtemplatewebsite.com/template/avec/fonts/fontawesome-webfont93e3.eot	(from http://premiumtemplatewebsite.com/template/avec/css/font-awesome.min.css)
16:15:27	68875/68875	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2012%20Feb%202016%2015:14:50%20GMT	http://premiumtemplatewebsite.com/template/avec/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/da/asdasd/premiumtemplatewebsite.com/template/avec/fonts/fontawesome-webfontd41d.eot	(from http://premiumtemplatewebsite.com/template/avec/css/font-awesome.min.css)
